Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,
12,27,18,0,0,66.66,3,caught,1,South Africa,Port of Spain,15-May-05,ODI # 2245
0,3,2,0,0,0,4,caught,2,Australia,Melbourne (Docklands),05-Oct-05,ODI # 2282
5,15,10,0,0,50,5,caught,2,Australia,Melbourne (Docklands),07-Oct-05,ODI # 2283
0,1,1,0,0,0,5,caught,2,Australia,Melbourne (Docklands),09-Oct-05,ODI # 2284
40*,59,43,3,1,93.02,6,not out,2,Zimbabwe,St John's,29-Apr-06,ODI # 2368
5,-,9,0,0,55.55,6,caught,1,Zimbabwe,St John's,30-Apr-06,ODI # 2369
56,-,45,10,0,124.44,3,caught,1,Zimbabwe,Georgetown,07-May-06,ODI # 2370
DNB,-,-,-,-,-,-,-,2,Zimbabwe,Gros Islet,10-May-06,ODI # 2371
2,-,10,0,0,20,4,caught,1,Zimbabwe,Port of Spain,13-May-06,ODI # 2372
40,-,38,2,3,105.26,4,caught,1,Zimbabwe,Port of Spain,14-May-06,ODI # 2373
35,69,44,3,1,79.54,4,caught,1,India,Kingston,18-May-06,ODI # 2377
14,41,33,2,0,42.42,4,caught,1,India,Kingston,20-May-06,ODI # 2379
5,-,11,1,0,45.45,5,caught,2,India,Basseterre,23-May-06,ODI # 2380
69,-,97,8,1,71.13,4,caught,2,India,Port of Spain,26-May-06,ODI # 2381
36,-,63,1,1,57.14,4,run out,1,India,Port of Spain,28-May-06,ODI # 2382
1,6,3,0,0,33.33,4,lbw,2,Australia,Kuala Lumpur,12-Sep-06,ODI # 2413
27*,27,30,4,1,90,4,not out,2,India,Kuala Lumpur,14-Sep-06,ODI # 2414
87,136,80,11,1,108.75,4,caught,2,Australia,Kuala Lumpur,18-Sep-06,ODI # 2417
40*,56,48,6,0,83.33,9,not out,2,India,Kuala Lumpur,20-Sep-06,ODI # 2419
5,13,18,1,0,27.77,5,caught,2,Australia,Kuala Lumpur,24-Sep-06,ODI # 2422
24*,16,20,2,2,120,3,not out,2,Zimbabwe,Ahmedabad,08-Oct-06,ODI # 2424
DNB,-,-,-,-,-,-,-,2,Bangladesh,Jaipur,11-Oct-06,ODI # 2426
13,56,35,2,0,37.14,4,lbw,1,Sri Lanka,Mumbai (BS),14-Oct-06,ODI # 2428
71,122,94,7,2,75.53,6,caught,1,Australia,Mumbai (BS),18-Oct-06,ODI # 2432
5,6,5,1,0,100,6,bowled,2,India,Ahmedabad,26-Oct-06,ODI # 2437
3,7,6,0,0,50,5,bowled,1,England,Ahmedabad,28-Oct-06,ODI # 2439
9,11,10,1,0,90,5,caught,2,South Africa,Jaipur,02-Nov-06,ODI # 2442
2,26,18,0,0,11.11,5,caught,1,Australia,Mumbai (BS),05-Nov-06,ODI # 2443
14,33,29,1,0,48.27,5,run out,1,Pakistan,Faisalabad,07-Dec-06,ODI # 2460
0,5,1,0,0,0,2,lbw,1,Pakistan,Lahore,10-Dec-06,ODI # 2463
13*,28,20,1,1,65,5,not out,2,Pakistan,Multan,13-Dec-06,ODI # 2464
44,77,55,2,0,80,5,bowled,1,Pakistan,Karachi,16-Dec-06,ODI # 2466
31,28,23,2,2,134.78,5,stumped,2,India,Nagpur,21-Jan-07,ODI # 2480
83,119,88,10,2,94.31,5,caught,2,India,Chennai,27-Jan-07,ODI # 2487
