Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,ODINo
0,12,6,0,0,0,3,caught,1,Sri Lanka,Colombo (RPS),27-Aug-08,ODI # 2755
17,46,23,2,0,73.91,3,bowled,2,Sri Lanka,Colombo (RPS),29-Aug-08,ODI # 2756
138*,125,78,16,6,176.92,4,not out,1,England,Rajkot,14-Nov-08,ODI # 2774
118,153,122,15,2,96.72,5,caught,1,England,Indore,17-Nov-08,ODI # 2777
38,62,31,2,1,122.58,5,caught,2,England,Kanpur,20-Nov-08,ODI # 2778
25*,16,11,0,3,227.27,4,not out,1,England,Bengaluru,23-Nov-08,ODI # 2781
6,13,9,0,0,66.66,3,caught,2,England,Cuttack,26-Nov-08,ODI # 2783
23,52,40,2,0,57.5,4,caught,2,Sri Lanka,Dambulla,28-Jan-09,ODI # 2806
66,100,88,7,1,75,4,lbw,1,Sri Lanka,Colombo (RPS),31-Jan-09,ODI # 2810
117,126,95,17,1,123.15,4,caught,1,Sri Lanka,Colombo (RPS),03-Feb-09,ODI # 2813
5,5,6,1,0,83.33,4,bowled,1,Sri Lanka,Colombo (RPS),05-Feb-09,ODI # 2815
73,86,62,11,1,117.74,4,caught,2,Sri Lanka,Colombo (RPS),08-Feb-09,ODI # 2818
2,17,13,0,0,15.38,4,run out,1,New Zealand,Napier,03-Mar-09,ODI # 2821
0,5,4,0,0,0,4,caught,1,New Zealand,Wellington,06-Mar-09,ODI # 2822
87,82,60,10,6,145,4,caught,1,New Zealand,Christchurch,08-Mar-09,ODI # 2823
DNB,-,-,-,-,-,-,-,2,New Zealand,Hamilton,11-Mar-09,ODI # 2824
11,26,24,0,0,45.83,5,caught,1,New Zealand,Auckland,14-Mar-09,ODI # 2825
131,134,102,10,7,128.43,4,caught,1,West Indies,Kingston,26-Jun-09,ODI # 2852
35,47,33,5,1,106.06,4,caught,1,West Indies,Kingston,28-Jun-09,ODI # 2853
2,8,6,0,0,33.33,4,caught,2,West Indies,Gros Islet,03-Jul-09,ODI # 2854
TDNB,-,-,-,-,-,-,-,-,West Indies,Gros Islet,05-Jul-09,ODI # 2855
8,22,13,2,0,61.53,4,caught,2,New Zealand,Colombo (RPS),11-Sep-09,ODI # 2886
16,29,22,2,0,72.72,4,caught,2,Sri Lanka,Colombo (RPS),12-Sep-09,ODI # 2887
56*,75,41,6,1,136.58,4,not out,1,Sri Lanka,Colombo (RPS),14-Sep-09,ODI # 2889
23,24,24,2,1,95.83,4,caught,1,Australia,Nagpur,28-Oct-09,ODI # 2915
78,146,96,8,2,81.25,4,lbw,2,Australia,Delhi,31-Oct-09,ODI # 2918
12,41,21,0,0,57.14,4,run out,2,Australia,Mohali,02-Nov-09,ODI # 2919
9,21,10,1,0,90,4,caught,2,Australia,Hyderabad (Deccan),05-Nov-09,ODI # 2923
6,29,16,1,0,37.5,4,bowled,1,Australia,Guwahati,08-Nov-09,ODI # 2925
23,46,40,3,0,57.5,4,caught,2,Sri Lanka,Cuttack,21-Dec-09,ODI # 2934
74,127,84,6,2,88.09,4,caught,1,Sri Lanka,Dhaka,05-Jan-10,ODI # 2938
1,5,4,0,0,25,4,bowled,2,Bangladesh,Dhaka,07-Jan-10,ODI # 2939
8*,24,7,0,0,114.28,4,not out,2,Sri Lanka,Dhaka,10-Jan-10,ODI # 2941
13,28,25,1,0,52,4,lbw,2,Bangladesh,Dhaka,11-Jan-10,ODI # 2942
0,8,3,0,0,0,4,caught,1,Sri Lanka,Dhaka,13-Jan-10,ODI # 2943
5,50,25,1,0,20,4,caught,2,New Zealand,Dambulla,10-Aug-10,ODI # 3030
38,-,64,5,1,59.37,4,lbw,1,Sri Lanka,Dambulla,22-Aug-10,ODI # 3038
6,29,19,1,0,31.57,4,caught,1,New Zealand,Dambulla,25-Aug-10,ODI # 3039
26,46,31,4,0,83.87,4,caught,2,Sri Lanka,Dambulla,28-Aug-10,ODI # 3040
58,108,87,5,0,66.66,4,bowled,2,Australia,Visakhapatnam,20-Oct-10,ODI # 3060
42,77,64,7,0,65.62,4,caught,1,New Zealand,Guwahati,28-Nov-10,ODI # 3070
16*,25,11,1,1,145.45,4,not out,2,New Zealand,Jaipur,01-Dec-10,ODI # 3072
DNB,-,-,-,-,-,-,-,2,New Zealand,Vadodara,04-Dec-10,ODI # 3074
20,38,28,1,1,71.42,4,caught,2,New Zealand,Bengaluru,07-Dec-10,ODI # 3076
42*,63,46,6,2,91.3,4,not out,2,New Zealand,Chennai,10-Dec-10,ODI # 3077
2,4,4,0,0,50,5,caught,2,South Africa,Durban,12-Jan-11,ODI # 3079
53,74,68,4,0,77.94,4,caught,1,South Africa,Johannesburg,15-Jan-11,ODI # 3080
16,43,27,2,0,59.25,4,lbw,2,South Africa,Cape Town,18-Jan-11,ODI # 3082
12,22,20,1,1,60,4,caught,2,South Africa,Port Elizabeth,21-Jan-11,ODI # 3084
8,18,14,2,0,57.14,5,caught,2,South Africa,Centurion,23-Jan-11,ODI # 3087
DNB,-,-,-,-,-,-,-,1,Bangladesh,Dhaka,19-Feb-11,ODI # 3100
58,76,50,9,0,116,4,caught,1,England,Bengaluru,27-Feb-11,ODI # 3110
50*,108,75,3,0,66.66,5,not out,2,Ireland,Bengaluru,06-Mar-11,ODI # 3121
51*,93,73,7,0,69.86,6,not out,2,Netherlands,Delhi,09-Mar-11,ODI # 3124
12,15,9,0,1,133.33,5,caught,1,South Africa,Nagpur,12-Mar-11,ODI # 3128
113,163,123,10,2,91.86,4,caught,1,West Indies,Chennai,20-Mar-11,ODI # 3141
57*,90,65,8,0,87.69,5,not out,2,Australia,Ahmedabad,24-Mar-11,ODI # 3143
0,1,1,0,0,0,5,bowled,1,Pakistan,Mohali,30-Mar-11,ODI # 3147
